[2024-05-21 06:48:44,925::train::INFO] [Validation] Iter 36800 | reward 0.678295
[2024-05-21 07:08:56,048::train::INFO] [Validation] Iter 37000 | reward 0.676201
[2024-05-21 07:28:55,796::train::INFO] [Validation] Iter 37200 | reward 0.659867
[2024-05-21 07:49:22,088::train::INFO] [Validation] Iter 37400 | reward 0.704996
[2024-05-21 08:09:47,411::train::INFO] [Validation] Iter 37600 | reward 0.672147
[2024-05-21 08:30:28,872::train::INFO] [Validation] Iter 37800 | reward 0.637955
[2024-05-21 08:51:08,557::train::INFO] [Validation] Iter 38000 | reward 0.654877
[2024-05-21 09:11:59,448::train::INFO] [Validation] Iter 38200 | reward 0.712859
[2024-05-21 09:32:35,955::train::INFO] [Validation] Iter 38400 | reward 0.656633
[2024-05-21 09:53:04,499::train::INFO] [Validation] Iter 38600 | reward 0.703986
[2024-05-21 10:15:11,663::train::INFO] [Validation] Iter 38800 | reward 0.617859
[2024-05-21 10:37:49,111::train::INFO] [Validation] Iter 39000 | reward 0.700805
[2024-05-21 11:02:19,348::train::INFO] [Validation] Iter 39200 | reward 0.651494
[2024-05-21 11:24:19,488::train::INFO] [Validation] Iter 39400 | reward 0.679383
[2024-05-21 11:48:23,553::train::INFO] [Validation] Iter 39600 | reward 0.652606
[2024-05-21 12:12:09,274::train::INFO] [Validation] Iter 39800 | reward 0.665677
[2024-05-21 12:34:23,004::train::INFO] [Validation] Iter 40000 | reward 0.670760
[2024-05-21 12:58:19,527::train::INFO] [Validation] Iter 40200 | reward 0.669218
[2024-05-21 13:20:29,041::train::INFO] [Validation] Iter 40400 | reward 0.673315
[2024-05-21 13:44:46,981::train::INFO] [Validation] Iter 40600 | reward 0.681769
[2024-05-21 14:09:11,274::train::INFO] [Validation] Iter 40800 | reward 0.673118
[2024-05-21 14:32:53,858::train::INFO] [Validation] Iter 41000 | reward 0.679748
[2024-05-21 14:56:19,883::train::INFO] [Validation] Iter 41200 | reward 0.642577
[2024-05-21 15:19:48,126::train::INFO] [Validation] Iter 41400 | reward 0.661409
[2024-05-21 15:42:36,899::train::INFO] [Validation] Iter 41600 | reward 0.594141
[2024-05-21 16:05:11,206::train::INFO] [Validation] Iter 41800 | reward 0.662721
[2024-05-21 16:29:47,529::train::INFO] [Validation] Iter 42000 | reward 0.667654
[2024-05-21 16:50:44,189::train::INFO] [Validation] Iter 42200 | reward 0.699059
[2024-05-21 17:11:00,003::train::INFO] [Validation] Iter 42400 | reward 0.677955
[2024-05-21 17:34:16,929::train::INFO] [Validation] Iter 42600 | reward 0.657595
[2024-05-21 17:57:40,894::train::INFO] [Validation] Iter 42800 | reward 0.654207
[2024-05-21 18:21:00,172::train::INFO] [Validation] Iter 43000 | reward 0.703586
[2024-05-21 18:44:11,134::train::INFO] [Validation] Iter 43200 | reward 0.639387
[2024-05-21 19:07:30,445::train::INFO] [Validation] Iter 43400 | reward 0.675049
[2024-05-21 19:28:05,165::train::INFO] [Validation] Iter 43600 | reward 0.689502
[2024-05-21 19:49:14,019::train::INFO] [Validation] Iter 43800 | reward 0.675658
[2024-05-21 20:14:06,057::train::INFO] [Validation] Iter 44000 | reward 0.606414
[2024-05-21 20:38:34,773::train::INFO] [Validation] Iter 44200 | reward 0.671432
[2024-05-21 21:02:53,426::train::INFO] [Validation] Iter 44400 | reward 0.635915
[2024-05-21 21:26:56,892::train::INFO] [Validation] Iter 44600 | reward 0.604673
[2024-05-21 21:49:49,752::train::INFO] [Validation] Iter 44800 | reward 0.679500
[2024-05-21 22:15:19,576::train::INFO] [Validation] Iter 45000 | reward 0.687152
[2024-05-21 22:38:55,767::train::INFO] [Validation] Iter 45200 | reward 0.613365
[2024-05-21 23:02:44,572::train::INFO] [Validation] Iter 45400 | reward 0.617859
[2024-05-21 23:25:33,733::train::INFO] [Validation] Iter 45600 | reward 0.659493
[2024-05-21 23:49:42,481::train::INFO] [Validation] Iter 45800 | reward 0.716051
[2024-05-22 00:13:40,773::train::INFO] [Validation] Iter 46000 | reward 0.659925
[2024-05-22 00:36:40,253::train::INFO] [Validation] Iter 46200 | reward 0.632833
[2024-05-22 00:59:35,463::train::INFO] [Validation] Iter 46400 | reward 0.719468
[2024-05-22 01:23:18,724::train::INFO] [Validation] Iter 46600 | reward 0.696646
[2024-05-22 01:44:22,239::train::INFO] [Validation] Iter 46800 | reward 0.619223
